Importance,Activities
3,Start EmployeeCollectInternalPlaneData StoreInternalPlaneData PresentingInternalPlaneData End
4,Start SearchInInternalPlane ProcessingInternalPlaneSearch PresentingInternalPlaneData End
4,Start EmployeeCollectExternalPlaneData StoreExternalPlaneData PresentingExternalPlaneData End
5,Start SearchInExternalPlane ProcessingExternalPlaneSearch PresentingExternalPlaneData End
2,Start EmployeeCollectTrainData StoreTrainData PresentingTrainData End
3,Start SearchInTrain ProcessingTrainSearch PresentingTrainData End
2,Start EmployeeCollectBusData StoreBusData PresentingBusData End
3,Start SearchInBus ProcessingBusSearch PresentingBusData End
2,Start PresentSignUpPage StoreSignUpData Authorization PresentUserPage End
2,Start PresentLoginPage Authentication Authorization PresentUserPage End
6,Start SelectTicketPage CalculatePriceAndData Purchase PresentPurchaseResult End
