Name,Resource
CreateTwitterProject,PresentationServer
CrawlTwitterUsersData,CrawlServer
StoreTwitterData,Server
SolvingTwitterData,Server
SolvingPresentation,PresentationServer
DataPresentation,PresentationServer
CreateLinkedInProject,PresentationServer
CrawlLinkedInUsersData,CrawlServer
StoreLinkedInData,Server
SolvingLinkedInData,Server
CreateInstagramProject,PresentationServer
CrawlInstagramUsersData,CrawlServer
StoreInstagramData,Server
SolvingInstagramData,Server
CreateFaceBookProject,PresentationServer
CrawlFaceBookUsersData,CrawlServer
StoreFaceBookData,Server
SolvingFaceBookData,Server
Search,PresentationServer
ProcessingSearchData,Server
ProcessingResult,PresentationServer
