Name,Resource
CrawlCompanyJobinja,CrawlServer
StoreCompanyData,Server
CompanyPresentation,PresentationServer
CrawlCompanyJobVision,CrawlServer
CrawlCompanyEestekhdam,CrawlServer
CrawlPositionJobinja,CrawlServer
StorePositionData,Server
PositionPresentation,PresentationServer
CrawlPositionJobVision,CrawlServer
CrawlPositionEestekhdam,CrawlServer
Search,PresentationServer
ProcessingSearchData,Server
PresentationResult,PresentationServer
WrapperCompanyJobinja,WrapperServer
WrapperCompanyJobVision,WrapperServer
WrapperCompanyEestekhdam,WrapperServer
WrapperPositionJobinja,WrapperServer
WrapperPositionJobVision,WrapperServer
WrapperPositionEestekhdam,WrapperServer
